Date,Open,High,Low,Close,Volume
2020-01-02,32.61,32.998,32.478,32.981,43484930
2020-01-03,32.678,32.986,32.553,32.59,37954660
2020-01-06,32.312,33.636,32.12,33.583,56685770
2020-01-07,33.647,33.67,33.03,33.075,47424580
2020-01-08,33.149,34.27,33.105,33.926,71091170
2020-01-09,34.2,34.342,33.461,33.566,47174300
2020-01-10,33.713,33.85,32.727,32.905,47205400
2020-01-13,33.18,34.085,33.151,33.892,62961740
2020-01-14,34.44,34.538,33.552,33.869,72015440
2020-01-15,33.868,34.317,33.66,33.907,51580350
2020-01-16,34.35,34.3555,33.585,33.862,50159970
2020-01-17,34.1,34.157,33.738,33.967,60665470
2020-01-21,34.0,34.1,33.259,33.811,143503220
2020-01-22,33.255,33.63,32.36,32.6,217299590
2020-01-23,32.604,34.988,32.501,34.96,182002930
2020-01-24,34.846,35.985,34.588,35.316,179396810
2020-01-27,34.595,35.19,34.102,34.288,77094820
2020-01-28,34.588,35.24,34.278,34.852,68215810
2020-01-29,34.9,34.94,33.855,34.316,76491830
2020-01-30,34.11,34.82,33.925,34.774,53281360
2020-01-31,34.739,34.739,34.098,34.509,52300010
2020-02-03,34.724,35.963,34.628,35.8,66748850
2020-02-04,36.1,36.957,35.6096,36.901,71614510
2020-02-05,37.5125,37.525,36.23,36.967,64370260
2020-02-06,36.96,37.155,36.2505,36.695,39204280
2020-02-07,36.504,37.18,36.357,36.677,43852270
2020-02-10,36.5,37.48,36.252,37.107,52941380
2020-02-11,37.375,37.811,36.972,37.369,47728700
2020-02-12,37.718,38.062,37.588,38.001,46247720
2020-02-13,37.696,38.537,37.651,38.14,44853830
2020-02-14,38.147,38.515,37.9434,38.04,37362660
2020-02-18,37.93,38.954,37.919,38.778,51804000
2020-02-19,38.812,39.295,38.49,38.619,48963680
2020-02-20,38.656,38.97,37.668,38.6,40794250
2020-02-21,38.533,38.732,37.7901,38.007,39356180
2020-02-24,36.476,37.282,36.1,36.87,69364180
2020-02-25,37.2,37.565,35.772,36.009,64812430
2020-02-26,36.631,38.2,36.5,37.924,89611260
2020-02-27,37.146,39.1562,37.0596,37.171,109676990
2020-02-28,36.421,37.677,35.68,36.903,111785720
2020-03-02,37.311,38.136,36.4502,38.105,69978910
2020-03-03,38.103,39.352,36.74,36.877,83646230
2020-03-04,37.777,38.401,37.051,38.379,54873400
2020-03-05,38.1,39.14,36.864,37.278,87469850
2020-03-06,36.77,37.131,35.685,36.897,81471650
2020-03-09,34.386,35.747,34.1721,34.649,74054580
2020-03-10,35.6425,36.454,34.785,36.413,76044440
2020-03-11,35.892,36.298,34.479,34.992,60587820
2020-03-12,32.65,33.572,30.732,31.525,120715910
2020-03-13,33.051,33.642,30.739,33.6295,94581970
2020-03-16,30.663,33.435,29.475,29.884,105599400
2020-03-17,30.619,32.29,29.025,31.975,100139130
2020-03-18,30.2395,33.1579,30.0,31.547,125936470
2020-03-19,32.433,34.851,31.682,33.203,106159570
2020-03-20,34.231,35.049,33.2,33.283,108538460
2020-03-23,34.789,36.611,34.0884,36.027,134493780
2020-03-24,36.999,37.293,35.303,35.732,116386830
2020-03-25,36.102,36.2,33.917,34.239,87671710
2020-03-26,34.4,36.384,34.173,36.299,72350160
2020-03-27,35.909,36.856,35.3,35.712,79487750
2020-03-30,36.3,37.78,36.117,37.096,86219640
